addressDetailEn,addressDetailTh,addressEn,addressTh,branchNameEn,branchNameTh,districtEn,districtTh,faxExt,faxTh,latitude,longtitude,provinceNameEn,provinceNameTh,subDistrictEn,subDistrictTh,telExt,telTh,timeEn,timeTh,timeWeekendEn,timeWeekendTh,workingHourEn,workingHourTh,workingHourWeekendEn,workingHourWeekendTh,zipCode,code,mobile,branchType
,273/23-24 หมู่ที่ 1,,273/23-24 หมู่ที่ 1 ตำบลสำโรงใต้ อำเภอพระประแดง จังหวัดสมุทรปราการ 10130,,ถนนปู่เจ้าสมิงพราย,,พระประแดง,,02-384-3558,13.644108,100.587205,,สมุทรปราการ,,สำโรงใต้,,02-384-3557,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-264,091-889-4321,SOMWANG
,253 ถนนผังเมือง 4,,253 ถนนผังเมือง 4 ตำบลสะเตง อำเภอเมืองยะลา จังหวัดยะลา 95000,,ถนนผังเมือง 4 (ยะลา),,เมืองยะลา,,073-299-847,6.53297,101.285317,,ยะลา,,สะเตง,,073-299-846,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-602,063-748-0101,SOMWANG
,"101/19 ,101/20 หมู่ที่ 4",,"101/19 ,101/20 หมู่ที่ 4 แขวงบางชัน เขตคลองสามวา จังหวัดกรุงเทพฯ 10510",,ถนนพระยาสุเรนทร์,,คลองสามวา,,02-540-1969,13.826243,100.699139,,กรุงเทพมหานคร,,บางชัน,,02-540-1968,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-250,063-905-3999,SOMWANG
,625/15-16 ถนนพรานนก,,625/15-16 ถนนพรานนก แขวงบ้านช่างหล่อ เขตบางกอกน้อย จังหวัดกรุงทพฯ 10700,,ถนนพรานนก,,บางกอกน้อย,,02-418-0794,13.75523,100.475764,,กรุงเทพมหานคร,,บ้านช่างหล่อ,,02-418-0795,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-097,091-889-5000,SOMWANG
,66 ถนนพัฒนาการ,,66 ถนนพัฒนาการ ตำบลประเวศ อำเภอประเวศ จังหวัดกรุเทพฯ 10250,,ถนนพัฒนาการ,,ประเวศ,,02-321-0168,13.730168,100.653438,,กรุงเทพฯ,,ประเวศ,,02-321-0167,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-495,063-904-7667,SOMWANG
,"32, 32/1 ถนนพัฒนาการคูขวาง",,"32, 32/1 ถนนพัฒนาการคูขวาง ตำบลในเมือง อำเภอเมืองนครศรีธรรมราช จังหวัดนครศรีธรรมราช 80000",,ถนนพัฒนาการคูขวาง (นครศรีธรรมราช),,เมืองนครศรีธรรมราช,,075-467-708,8.41206,99.975841,,นครศรีธรรมราช,,ในเมือง,,075-467-707,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-515,063-904-8778,SOMWANG
,678/14 หมู่ที่ 5,,678/14 หมู่ที่ 5 ตำบลนาเกลือ อำเภอบางละมุง จังหวัดชลบุรี 20150,,ถนนพัทยา-นาเกลือ,,บางละมุง,,038-111-824,12.969499,100.901998,,ชลบุรี,,นาเกลือ,,038-111-823,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-494,095-367-6565,SOMWANG
,43-45 ถนนภิรมย์,,43-45 ถนนภิรมย์ ตำบลกาฬสินธุ์ อำเภอเมืองกาฬสินธุ์ จังหวัดกาฬสินธุ์ 46000,,ถนนภิรมย์ (กาฬสินธุ์),,เมืองกาฬสินธุ์,,043-840-967,16.433012,103.504468,,กาฬสินธุ์,,กาฬสินธุ์,,043-840-840,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-335,063-905-7222,SOMWANG
,16/14 ซอยม.ชวนชื่น ถ.มาเจริญ,,16/14 ซอยม.ชวนชื่น ถ.มาเจริญ แขวงหนองแขม เขตหนองแขม จังหวัดกรุงเทพฯ 10160,,ถนนมาเจริญ (ซอยเพชรเกษม 81),,หนองแขม,,02-408-1396,13.686044,100.343099,,กรุงเทพฯ,,หนองแขม,,02-408-1395,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-403,094-231-7770,SOMWANG
,403 ถนนมิตรภาพ-หนองคาย,,403 ถนนมิตรภาพ-หนองคาย ตำบลในเมือง อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา 30000,,ถนนมิตรภาพ (ปตท.ดาวเจริญ),,เมืองนครราชสีมา,,044-923-196,14.989258,102.096279,,นครราชสีมา,,ในเมือง,,044-923-195,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-076,080-953-8000,SOMWANG
,2/36 ถนนราชการดำเนิน,,2/36 ถนนราชการดำเนิน ตำบลในเมือง อำเภอเมืองร้อยเอ็ด จังหวัดร้อยเอ็ด 45000,,ถนนราชการดำเนิน (ร้อยเอ็ด),,เมืองร้อยเอ็ด,,043-518-132,16.046506,103.636973,,ร้อยเอ็ด,,ในเมือง,,043-518-131,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-278,091-889-4888,SOMWANG
,2024/92 ถนนริมทางรถไฟสายปากน้ำ,,2024/92 ถนนริมทางรถไฟสายปากน้ำ แขวงพระโขนง เขตคลองเตย จังหวัดกรุงเทพฯ 10110,,ถนนริมทางรถไฟสายปากน้ำ,,คลองเตย,,02-311-8125,13.701778,100.588917,,กรุงเทพมหานคร,,พระโขนง,,02-311-8124,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-564,091-770-8228,SOMWANG
,211 ถนนลาดกระบัง,,211 ถนนลาดกระบัง แขวงลาดกระบัง เขตลาดกระบัง จังหวัดกรุงเทพฯ 10520,,ถนนลาดกระบัง(ตลาดนำชัย),,ลาดกระบัง,,02-136-6709,13.722291,100.711339,,กรุงเทพมหานคร,,ลาดกระบัง,,02-136-6708,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-238,063-904-8666,SOMWANG
,169/24 หมู่ที่ 3,,169/24 หมู่ที่ 3 ตำบลคูคต อำเภอลำลูกกา จังหวัดปทุมธานี 12130,,ถนนลำลูกกา (คูคต),,ลำลูกกา,,02-536-6171,13.932503,100.654127,,ปทุมธานี,,คูคต,,02-536-6170,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-521,091-770-6226,SOMWANG
,"178,180 ถนนวัชรพล",,"178,180 ถนนวัชรพล แขวงท่าแร้ง เขตบางเขน จังหวัดกรุงเทพฯ 10230",,ถนนวัชรพล,,บางเขน,,02-510-0336,13.857861,100.640889,,กรุงเทพมหานคร,,ท่าแร้ง,,02-510-0335,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-174,091-770-3000,SOMWANG
,"201/48, 201/49 ซอยพหลโยธิน 54/1 แยก 4 (วัดเกาะ)",,"201/48, 201/49 ซอยพหลโยธิน 54/1 แยก 4 (วัดเกาะ) แขวงคลองถนน เขตสายไหม จังหวัดกรุงเทพฯ 10220",,ถนนวัดเกาะ (เพิ่มสิน),,สายไหม,,02-531-1535,13.906897,100.631073,,กรุงเทพฯ,,คลองถนน,,02-531-1534,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-311,063-904-4447,SOMWANG
,"386/3, 386/4 ถนนวิทยะธำรงค์",,"386/3, 386/4 ถนนวิทยะธำรงค์ ตำบลในเมือง อำเภอเมืองยโสธร จังหวัดยโสธร 35000",,ถนนวิทยะธำรงค์ (ยโสธร),,ยโสธร,,045-711-449,15.801194,104.151301,,ยโสธร,,ในเมือง,,045-711-448,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-321,063-905-5552,SOMWANG
,184 ถนนสรรพาวุธ,,184 ถนนสรรพาวุธ แขวงบางนาเหนือ เขตบางนา จังหวัดกรุงเทพฯ 10260,,ถนนสรรพาวุธ,,บางนา,,02-136-9372,13.673806,100.604667,,กรุงเทพมหานคร,,บางนาเหนือ,,02-136-9371,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-587,091-772-6556,SOMWANG
,659/24-25 ถนนสาธุประดิษฐ์,,659/24-25 ถนนสาธุประดิษฐ์ แขวงบางโพงพาง เขตยานนาวา จังหวัดกรุงเทพฯ 10120,,ถนนสาธุประดิษฐ์ (ยานนาวา),,ยานนาวา,,02-294-2010,13.683486,100.532274,,กรุงเทพมหานคร,,บางโพงพาง,,02-294-2009,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-093,083-099-4000,SOMWANG
,1 ซอยเทพเสถียร,,1 ซอยเทพเสถียร แขวงช่องนนทรี เขตยานนาวา จังหวัดกรุงเทพฯ 10120,,ถนนสาธุประดิษฐ์ ซอย 9 (กรุงเทพฯ),,ยานนาวา,,02-212-1542,13.702323,100.53015,,กรุงเทพมหานคร,,ช่องนนทรี,,02-212-1541,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-532,091-772-4664,SOMWANG
,"655 ,657 ถนนสามัคคี",,"655 ,657 ถนนสามัคคี ตำบลท่าทราย อำเภอเมืองนนทบุรี จังหวัดนนทบุรี 11000",,ถนนสามัคคี,,เมืองนนทบุรี,,02-573-8539,13.881222,100.538861,,นนทบุรี,,ท่าทราย,,02-573-8538,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-159,091-771-1414,SOMWANG
,67 ถนนหทัยราษฎร์,,67 ถนนหทัยราษฎร์ แขวงมีนบุรี เขตมีนบุรี จังหวัดกรุงเทพฯ 10510,,ถนนหทัยราษฎร์,,มีนบุรี,,021-306-878,13.822993,100.720468,,กรุงเทพฯ,,มีนบุรี,,02-130-6877,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-397,094-216-4446,SOMWANG
,998/11 ถนนหลวงแพ่ง,,998/11 ถนนหลวงแพ่ง แขวงทับยาว เขตลาดกระบัง จังหวัดกรุงเทพฯ 10520,,ถนนหลวงแพ่ง,,ลาดกระบัง,,02-327-4035,13.717507,100.801637,,กรุงเทพฯ,,ทับยาว,,02-327-4034,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-404,094-232-1199,SOMWANG
,"399/27, 399/28 หมู่ที่ 11",,"399/27, 399/28 หมู่ที่ 11 ตำบลหนองขาม อำเภอศรีราชา จังหวัดชลบุรี 20230",,ถนนเครือสหพัฒน์ (ศรีราชา),,ศรีราชา,,038-480-312,13.099695,100.953279,,ชลบุรี,,หนองขาม,,038 480 311,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-070,080-301-8000,SOMWANG
,"29/55, 29/56 ถนนเทพาพัฒนา",,"29/55, 29/56 ถนนเทพาพัฒนา ตำบลในเมือง อำเภอเมืองเพชรบูรณ์ จังหวัดเพชรบูรณ์ 67000",,ถนนเทพาพัฒนา (เพชรบูรณ์),,เมืองเพชรบูรณ์,,056-720-906,16.409031,101.159727,,เพชรบูรณ์,,ในเมือง,,056-720-905,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-527,063-905-0055,SOMWANG
,1541/4-5 หมู่ที่ 6,,1541/4-5 หมู่ที่ 6 ตำบลเทพารักษ์ อำเภอเมืองสมุทรปราการ จังหวัดสมุทรปราการ 10270,,ถนนเทพารักษ์,,เมืองสมุทรปราการ,,02-385-2014,13.619139,100.646889,,สมุทรปราการ,,เทพารักษ์,,02-385-2015,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-171,063-901-1616,SOMWANG
,345/8 ถนนเลียบคลองสอง,,345/8 ถนนเลียบคลองสอง แขวงบางชัน เขตคลองสามวา จังหวัดหวัดกรุงเทพฯ 10510,,ถนนเลียบคลองสอง,,คลองสามวา,,02-517-1912,13.860547,100.706214,,กรุงเทพมหานคร,,บางชัน,,02-517-1911,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-482,095-369-5454,SOMWANG
,233 ถนนเอกชัย,,233 ถนนเอกชัย แขวงบางบอน เขตบางบอน จังหวัดกรุงเทพฯ 10150,,ถนนเอกชัย(บางบอน),,บางบอน,,02-416-7387,13.681484,100.439418,,กรุงเทพมหานคร,,บางบอน,,02-416-7386,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-090,083-927-8000,SOMWANG
,19/73 ถนนเอกาเทศรฐ,,19/73 ถนนเอกาเทศรฐ ตำบลในเมือง อำเภอเมืองพิษณุโลก จังหวัดพิษณุโลก 65000,,ถนนเอกาทศรฐ (พิษณุโลก),,เมืองพิษณุโลก,,055-212-335,16.832674,100.265369,,พิษณุโลก,,ในเมือง,,055-212-334,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-493,063-904-7799,SOMWANG
,753 ซอยศูนย์บันเทิงการค้า,,753 ซอยศูนย์บันเทิงการค้า แขวงคลองจั่น เขตบางกะปิ จังหวัดกรุงเทพฯ 10240,,ถนนแฮปปี้แลนด์,,บางกะปิ,,02-377-1279,13.780236,100.643328,,กรุงเทพมหานคร,,คลองจั่น,,02-377-1278,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-367,095-364-1199,SOMWANG
,"304 ,306 ถนนโชคชัย 4",,"304 ,306 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว จังหวัดกรุงเทพฯ 10230",,ถนนโชคชัย 4,,ลาดพร้าว,,02-539-9275,13.808194,100.5965,,กรุงเทพมหานคร,,ลาดพร้าว,,02-539-9274,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-172,090-980-6996,SOMWANG
,99/298 หมู่ที่ 7,,99/298 หมู่ที่ 7 ตำบลสุรศักดิ์ อำเภอศรีราชา จังหวัดชลบุรี 20110,,ถนนไร่กล้วย,,ศรีราชา,,038-110-727,13.157093,100.955764,,ชลบุรี,,สุรศักดิ์,,038-110-726,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-354,063-906-2777,SOMWANG
,148 หมู่ที่ 1,,148 หมู่ที่ 1 ตำบลเทพกระษัตรี อำเภอถลาง จังหวัดภูเก็ต 83110,,ถลาง(ภูเก็ต),,ถลาง,,076-313-536,8.028168,98.333021,,ภูเก็ต,,เทพกระษัตรี,,076-313-535,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-104,091-890-9000,SOMWANG
,"28/1, 28/2 หมู่ที่ 1",,"28/1, 28/2 หมู่ที่ 1 ตำบลท่าขนุน อำเภอทองผาภูมิ จังหวัดกาญจนบุรี 71180",,ทองผาภูมิ (กาญจนบุรี),,ทองผาภูมิ,,034-540-723,14.742393,98.631835,,กาญจนบุรี,,ท่าขนุน,,034-540-823,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-393,088-980-1114,SOMWANG
,900/8 หมู่ที่ 9,,900/8 หมู่ที่ 9 ตำบลทับคล้อ อำเภอทับคล้อ จังหวัดพิจิตร 66150,,ทับคล้อ (พิจิตร),,ทับคล้อ,,056-619-757,16.166763,100.582857,,พิจิตร,,ทับคล้อ,,056-619-756,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-458,095-365-9191,SOMWANG
,9/65 หมู่ที่ 1,,9/65 หมู่ที่ 1 ตำบลทับช้าง อำเภอสอยดาว จังหวัดจันทบุรี 22180,,ทับช้าง (จันทบุรี),,สอยดาว,,039-460-104,13.233712,102.183823,,จันทบุรี,,ทับช้าง,,039-460-103,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-538,063-905-0550,SOMWANG
,6/33 หมู่ที่ 1,,6/33 หมู่ที่ 1 ตำบลทับปุด อำเภอทับปุด จังหวัดพังงา 82180,,ทับปุด (พังงา),,ทับปุด,,076-410-333,8.518373,98.634138,,พังงา,,ทับปุด,,076-410-335,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-550,091-772-3993,SOMWANG
,26/11-12 หมู่ที่ 6,,26/11-12 หมู่ที่ 6 ตำบลทับสะแก อำเภอทับสะแก จังหวัดประจวบคีรีขันธ์ 77130,,ทับสะแก (ประจวบคีรีขันธ์),,ทับสะแก,,032-510-366,11.503258,99.610072,,ประจวบคีรีขันธ์,,ทับสะแก,,032-510-365,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-286,091-889-5566,SOMWANG
,9/28 หมู่ที่ 1,,9/28 หมู่ที่ 1 ตำบลทับไทร อำเภอโป่งน้ำร้อน จังหวัดจันทบุรี 22140,,ทับไทร (โป่งน้ำร้อน),,โป่งน้ำร้อน,,039-460-156,12.89875,102.267389,,จันทบุรี,,ทับไทร,,039-460-151,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-539,091-772-5005,SOMWANG
,118/3 หมู่ที่ 4,,118/3 หมู่ที่ 4 ตำบลเขาบางแกรก อำเภอหนองฉาง จังหวัดอุทัยธานี 61170,,ทุ่งนา (อุทัยธานี),,หนองฉาง,,056-510-754,15.309339,99.712215,,อุทัยธานี,,เขาบางแกรก,,056-510-753,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-561,091-772-4114,SOMWANG
,42/7 ถนนทุ่งสง-ห้วยยอด,,42/5 ถนนทุ่งสง-ห้วยยอด ตำบลปากแพรก อำเภอทุ่งสง จังหวัดนครศรีธรรมราช 80110,,ทุ่งสง,,ทุ่งสง,,075 421 598,8.162662,99.675124,,นครศรีธรรมราช,,ปากแพรก,,075 421 597,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-017,080-295-5000,SOMWANG
,410/3 ถนนชนปรีดา,,410/3 ถนนชนปรีดา ตำบลปากแพรก อำเภอทุ่งสง จังหวัดนครศรีธรรมราช 80110,,ทุ่งสง 2,,ทุ่งสง,,075-466-249,8.166524,99.678155,,นครศรีธรรมราช,,ปากแพรก,,075-466-248,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-454,095-367-9444,SOMWANG
,186/3 หมู่ที่ 8,,186/3 หมู่ที่ 8 ตำบลทุ่งเสลี่ยม อำเภอทุ่งเสลี่ยม จังหวัดสุโขทัย 64150,,ทุ่งเสลี่ยม (สุโขทัย),,ทุ่งเสลี่ยม,,055-615-596,17.317957,99.554681,,สุโขทัย,,ทุ่งเสลี่ยม,,055-615-570,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-580,091-772-5775,SOMWANG
,27/16 หมู่ที่ 4,,27/16 หมู่ที่ 4 ตำบลโพสังโฆ อำเภอค่ายบางระจัน จังหวัดสิงห์บุรี 16150,,ท่าข้าม (สิงห์บุรี),,ค่ายบางระจัน,,035-507-160,14.812767,100.36106,,สิงห์บุรี,,โพสังโฆ,,035-507-159,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-492,063-904-6336,SOMWANG
,89/13 หมู่ที่ 7,,89/13 หมู่ที่ 7 ตำบลท่าตะโก อำเภอท่าตะโก จังหวัดนครสวรรค์ 60160,,ท่าตะโก (นครสวรรค์),,ท่าตะโก,,056-248-285,15.64086,100.484302,,นครสวรรค์,,ท่าตะโก,,056-248-284,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-373,095-364-1666,SOMWANG
,"169/43, 169/44 หมู่ที่ 8",,"169/43, 169/44 หมู่ที่ 8 ตำบลท่าตูม อำเภอศรีมหาโพธิ จังหวัดปราจีนบุรี 25140",,ท่าตูม (ปราจีนบุรี),,ศรีมหาโพธิ,,037-218-822,13.937684,101.551489,,ปราจีนบุรี,,ท่าตูม,,037-218-821,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-460,095-365-6464,SOMWANG
,295/9 หมู่ที่ 2,,295/9 หมู่ที่ 2 ตำบลท่าทองใหม่ อำเภอกาญจนดิษฐ์ จังหวัดสุราษฎร์ธานี 84290,,ท่าทองใหม่ (สุราษฎร์ธานี),,กาญจนดิษฐ์,,077-313-709,9.148176,99.392784,,สุราษฎร์ธานี,,ท่าทองใหม่,,077-313-708,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-315,063-905-4666,SOMWANG
,19/17-18 หมู่ที่ 5,,19/17-18 หมู่ที่ 5 ตำบลสวนใหญ่ อำเภอเมืองนนทบุรี จังหวัดนนทบุรี 11000,,ท่าน้ำนนท์,,เมืองนนทบุรี,,02-526-8971,13.839557,100.496694,,นนทบุรี,,สวนใหญ่,,02-526-8970,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-095,083-097-5000,SOMWANG
,"424/5, 424/6 หมู่ที่ 12",,"424/5, 424/6 หมู่ที่ 12 ตำบลท่าบ่อ อำเภอท่าบ่อ จังหวัดหนองคาย 43110",,ท่าบ่อ (หนองคาย),,ท่าบ่อ,,042-432-007,17.840593,102.583359,,หนองคาย,,ท่าบ่อ,,042-432-006,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-424,095-365-3030,SOMWANG
,141/12 หมู่ที่ 1,,141/12 หมู่ที่ 1 ตำบลร่วมจิต อำเภอท่าปลา จังหวัดอุตรดิตถ์ 53190,,ท่าปลา (อุตรดิตถ์),,ท่าปลา,,055-479-703,17.707167,100.345389,,อุตรดิตถ์,,ร่วมจิต,,055-479-702,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-562,091-770-8558,SOMWANG
,222 หมู่ที่ 12,,222 หมู่ที่ 12 ตำบลท่าพล อำเภอเมืองเพชรบูรณ์ จังหวัดเพชรบูรณ์ 67250,,ท่าพล (เพชรบูรณ์),,เมืืองเพชรบูรณ์,,056-720-097,16.570604,101.150293,,เพชรบูรณ์,,ท่าพล,,056-720-096,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-457,095-365-6969,SOMWANG
,50/80 หมู่ที่ 3,,50/80 หมู่ที่ 3 ตำบลท่ามะกา อำเภอท่ามะกา จังหวัดกาญจนบุรี 71120,,ท่ามะกา(กาญจนบุรี),,ท่ามะกา,,034-694-034,13.91575,99.768361,,กาญจนบุรี,,ท่ามะกา,,034-694-033,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-175,091-009-7888,SOMWANG
,607 หมู่ที่ 2,,607 หมู่ที่ 2 ตำบลท่ามะเขือ อำเภอคลองขลุง จังหวัดกำแพงเพชร 62120,,ท่ามะเขือ (กำแพงเพชร),,คลองขลุง,,055-863-321,16.233742,99.732873,,กำแพงเพชร,,ท่ามะเขือ,,055-863-320,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-267,091-889-4466,SOMWANG
,"129/9 ,129/10 หมู่ที่ 1",,"129/9 ,129/10 หมู่ที่ 1 ตำบลท่าม่วง อำเภอท่าม่วง จังหวัดกาญจนบุรี 71110",,ท่าม่วง,,ท่าม่วง,,034-611-352,13.966286,99.637581,,กาญจนบุรี,,ท่าม่วง,,034-611-351,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-216,063-904-6999,SOMWANG
,407/3 หมู่ที่ 1,,407/3 หมู่ที่ 1 ตำบลท่ายาง อำเภอท่ายาง จังหวัดเพชรบุรี 76130,,ท่ายาง,,ท่ายาง,,032-463-862,12.973156,99.895215,,เพชรบุรี,,ท่ายาง,,032-463-861,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-204,096-823-6200,SOMWANG
,"458,460 หมู่ที่ 1",,"458,460 หมู่ที่ 1 ตำบลท่าศาลา อำเภอท่าศาลา จังหวัดนครศรีธรรมราช 80160",,ท่าศาลา,,ท่าศาลา,,075-521-788,8.664341,99.923105,,นครศรีธรรมราช,,ท่าศาลา,,075-521-787,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-112,091-771-5000,SOMWANG
,172/140 หมู่ที่ 8,,172/140 หมู่ที่ 8 ตำบลเขารูปช้าง อำเภอเมืองสงขลา จังหวัดสงขลา 90000,,ท่าสะอ้าน (สงขลา),,เมืองสงขลา,,074-300-224,7.175861,100.597,,สงขลา,,เขารูปช้าง,,074-300-223,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-595,091-772-7557,SOMWANG
,169/9 หมู่ที่ 4,,169/9 หมู่ที่ 4 ตำบลบางรักน้อย อำเภอเมืองนนทบุรี จังหวัดนนทบุรี 11000,,ท่าอิฐ (นนทบุรี),,เมืองนนทบุรี,,02-149-5269,13.882009,100.458109,,รัตนาธิเบศร์,,บางรักน้อย,,021-495-268,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-340,063-905-7666,SOMWANG
,"69/11, 69/12 ถนนท่าเรือ-ท่าลาน(ฝั่งใต้)",,"69/11, 69/12 ถนนท่าเรือ-ท่าลาน(ฝั่งใต้) ตำบลท่าเรือ อำเภอท่าเรือ จังหวัดพระนครศรีอยุธยา 13130",,ท่าเรือ (อยุธยา),,ท่าเรือ,,035 341 223,14.565397,100.71958,,พระนครศรีอยุธยา,,ท่าเรือ,,035-341-222,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-390,063-906-5353,SOMWANG
,253 หมู่ที่ 16,,253 หมู่ที่ 16 ตำบลท่าแซะ อำเภอท่าแซะ จังหวัดชุมพร 86140,,ท่าแซะ (ชุมพร),,ท่าแซะ,,077-510-764,10.662583,99.194639,,ชุมพร,,ท่าแซะ,,077-510-763,,09.00 - 17.00 น.,,09.00 - 15.00 น.,,จันทร์ - ศุกร์,,เสาร์,,HW-449,095-367-8777,SOMWANG
